year,player,team,stat,line,line_low,line_high,odds_low,odds_high,book,proj,source,snapshot
2024,David Montgomery,DET,rush_td,9,8.5,9.5,-110,-115,,12,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Raheem Mostert,MIA,rush_td,8.5,8.5,8.5,+105,-120,,10,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Kenneth Walker,SEA,rush_td,8.5,8.5,8.5,-115,-115,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Anthony Richardson,IND,rush_td,8,7.5,8.5,+105,-115,,9,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Jahmyr Gibbs,DET,rush_td,8,7.5,8.5,-110,-135,,8,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Breece Hall,NYJ,rush_td,7.5,7.5,7.5,-105,-110,,8,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Saquon Barkley,PHI,rush_td,7.5,6.5,8.5,-110,-149,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Josh Jacobs,GB,rush_td,7.5,7.5,7.5,+110,-120,,7,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Joe Mixon,HOU,rush_td,7.5,7.5,7.5,-115,-115,,6,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
2024,Travis Etienne,JAX,rush_td,7,6.5,7.5,-110,-120,,8,fantasypoints,https://web.archive.org/web/20240627020904id_/https://www.fantasypoints.com/nfl/articles/2024/nfl-rushing-touchdown-props
