year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight
2023,LAC,9.5,5,-4.5,0,8.853,1,-0.5,10,0.412,8.68,1.32,8.765,4,255
2023,LAR,6.5,10,3.5,0,8.647,1,-5.5,5,-4.529,6.3,-1.3,8.941,3,139
2023,LV,6.5,8,1.5,0,8.941,1,-2.5,6,-1.353,7.93,-1.93,8.824,2,149
2023,MIA,9.5,11,1.5,0,8.912,0.5,0.0,9,-0.118,8.45,0.55,9.294,3,227
2023,MIN,8.5,7,-1.5,0,8.824,0,3.5,13,-0.176,8.43,4.57,8.412,4,252
2023,NE,7.5,4,-3.5,0,9.147,1,-0.5,8,1.0,8.98,-0.98,9.176,1,62
2023,NO,9.5,9,-0.5,0,7.559,1,-2.0,7,-0.882,8.05,-1.05,7.176,4,137
2023,NYG,7.5,6,-1.5,0,8.676,0,2.0,9,-0.353,8.34,0.66,9.235,3,168
2023,NYJ,9.5,7,-2.5,0,8.853,0,1.5,7,-1.176,7.84,-0.84,9.118,4,221
2023,PHI,11.5,11,-0.5,0,8.353,0,4.0,14,7.824,11.64,2.36,9.471,6,287
2023,PIT,9.0,10,1.0,0,8.382,0,1.5,9,-2.235,7.34,1.66,7.882,3,106
2023,SEA,9.0,9,0.0,0,8.412,0,3.5,9,0.353,8.65,0.35,8.706,4,158
2023,SF,11.0,12,1.0,0,8.147,0,3.0,13,10.176,12.91,0.09,8.647,4,207
