year,team,win_total_line,actual_wins,beat_margin,new_coach,sos_this_year_line,prior_year_under,prior_beat_margin,prior_actual_wins,prior_avg_point_diff,prior_pyth_wins,prior_luck,sos_prior_year_wins,adp_top100_count,adp_linear_weight,target_pyth_wins,target_avg_point_diff,target_luck
2019,HOU,8.5,10,1.5,0,8.375,0,2.5,11,5.375,10.22,0.78,8.438,4,198,7.83,-0.438,2.17
2019,IND,7.5,7,-0.5,0,8.125,0,2.5,10,5.562,10.13,-0.13,8.25,3,181,7.69,-0.75,-0.6900000000000004
2019,JAX,8.0,6,-2.0,0,8.031,1,-4.0,5,-4.438,5.66,-0.66,8.5,2,75,5.44,-6.062,0.5599999999999996
2019,KC,10.5,12,1.5,0,8.219,0,3.5,12,9.0,10.68,1.32,8.25,4,338,11.39,8.938,0.6099999999999994
2019,LAC,10.0,5,-5.0,0,7.906,0,2.5,12,6.188,10.42,1.58,7.938,6,230,7.78,-0.5,-2.7800000000000002
2019,LAR,10.5,9,-1.5,0,8.031,0,3.0,13,8.938,10.87,2.13,7.5,5,265,8.75,1.875,0.25
2019,LV,6.0,7,1.0,0,8.375,1,-3.5,4,-11.062,3.91,0.09,8.562,3,143,5.34,-6.625,1.6600000000000001
2019,MIA,4.5,5,0.5,1,8.344,0,0.5,7,-7.125,5.22,1.78,7.938,1,11,3.89,-11.75,1.1099999999999999
2019,MIN,9.0,10,1.0,0,8.188,1,-2.0,8,1.188,8.51,-0.51,8.125,4,239,10.69,6.5,-0.6899999999999995
2019,NE,11.5,12,0.5,0,7.562,0.5,0.0,11,6.938,10.68,0.32,7.5,4,160,13.03,12.188,-1.0299999999999994
2019,NO,10.5,13,2.5,0,8.031,0,3.5,13,9.438,11.19,1.81,7.812,5,264,10.69,7.312,2.3100000000000005
2019,NYG,6.0,4,-2.0,0,7.844,1,-2.0,5,-2.688,6.96,-1.96,7.5,2,130,5.44,-6.875,-1.4400000000000004
2019,NYJ,7.5,7,-0.5,1,7.75,1,-2.0,4,-6.75,5.43,-1.43,7.5,3,108,5.59,-5.188,1.4100000000000001
2019,PHI,10.0,9,-1.0,0,7.719,1,-1.5,9,1.188,8.5,0.5,7.562,4,165,8.79,1.938,0.21000000000000085
2019,PIT,9.5,8,-1.5,0,7.969,1,-1.5,9,4.25,9.62,-0.62,7.875,4,223,7.55,-0.875,0.4500000000000002
2019,SEA,9.0,11,2.0,0,8.281,0,2.5,10,5.062,9.95,0.05,7.562,3,150,8.17,0.438,2.83
2019,SF,8.0,13,5.0,0,8.156,1,-4.5,4,-5.812,5.78,-1.78,8.062,3,111,11.79,10.562,1.2100000000000009
2019,TB,6.5,7,0.5,1,8.188,1,-1.5,5,-4.25,6.52,-1.52,8.125,4,206,8.19,0.562,-1.1899999999999995
2019,TEN,8.0,9,1.0,0,8.188,0,1.0,9,0.438,8.22,0.78,8.188,1,49,9.81,4.438,-0.8100000000000005
