player_id,player_display_name,position,recent_team,games,targets,receptions,receiving_yards,receiving_tds,receiving_air_yards,target_share
00-0030085,Kenny Stills,WR,NO,7,23,6,68,1,430,0.0485232067510549
00-0030108,Ryan Griffin,TE,NYJ,14,42,27,261,2,223,0.072289156626506
00-0030155,Demetrius Harris,TE,ARI,10,6,3,10,0,22,0.0105263157894737
00-0030181,Jack Doyle,TE,IND,15,43,29,302,3,285,0.0856573705179283
00-0030279,Keenan Allen,WR,LAC,16,157,106,1138,6,1306,0.238239757207891
00-0030288,Rex Burkhead,RB,HOU,15,32,25,186,0,50,0.0611854684512428
00-0030431,Robert Woods,WR,LA,9,69,45,556,4,563,0.114617940199336
00-0030456,Giovani Bernard,RB,TB,10,29,23,123,3,30,0.0405027932960894
00-0030496,Le'Veon Bell,RB,TB,8,7,5,30,1,5,0.011844331641286
00-0030506,Travis Kelce,TE,KC,16,134,92,1125,9,994,0.210361067503925
00-0030513,Latavius Murray,RB,BAL,14,13,10,75,0,1,0.0219966159052454
00-0030525,Tavon Austin,WR,JAX,11,37,24,213,1,320,0.0634648370497427
00-0030561,Lane Johnson,OT,PHI,4,1,1,5,1,5,0.0021367521367521
00-0030564,DeAndre Hopkins,WR,ARI,10,64,42,572,8,788,0.112280701754386
00-0030578,Cordarrelle Patterson,RB,ATL,16,69,52,548,5,214,0.124548736462094
00-0030663,Willie Snead,WR,CAR,7,8,4,38,0,67,0.0132669983416252
00-0030669,Albert Wilson,WR,MIA,10,39,25,213,0,210,0.0651085141903172
00-0030874,Damien Williams,RB,CHI,12,23,16,103,1,41,0.0438931297709924
