year,team,win_total_line,over_odds,under_odds,actual_wins,result,games,points_for,points_against,point_diff,avg_point_diff,pyth_win_pct,pyth_wins,n_games,sos_actual_wins,sos_pyth_wins,sos_this_year_line,next_actual_wins,next_pyth_wins,next_win_total_line,sos_next_yr_line,win_change,pyth_win_change,schedule_delta_actual,schedule_delta_pyth,luck
2018,CLE,6.0,100,-120,7,Over,16,359,392,-33,-2.062,0.4481,7.17,16,8.1875,8.3925,8.312,6,6.5,9.0,7.875,-1,-0.6699999999999999,-0.3125,-0.5175000000000001,-0.16999999999999993
2019,CLE,9.0,100,-120,6,Under,16,335,393,-58,-3.625,0.4065,6.5,16,8.5,8.370625,7.875,11,7.75,8.5,8.0,5,1.25,-0.5,-0.3706250000000004,-0.5
2020,CLE,8.5,-110,-110,11,Over,16,408,419,-11,-0.688,0.4842,7.75,16,7.125,7.541875,8.0,8,7.89,10.5,8.412,-3,0.13999999999999968,1.2870000000000008,0.8701250000000007,3.25
2021,CLE,10.5,-120,100,8,Under,17,349,371,-22,-1.294,0.4638,7.89,17,8.647058823529411,8.5,8.412,7,7.96,8.0,8.441,-1,0.07000000000000028,-0.20605882352941052,-0.058999999999999275,0.11000000000000032
2022,CLE,8.0,-120,100,7,Under,17,361,381,-20,-1.176,0.4681,7.96,17,8.764705882352942,8.485294117647058,8.441,11,9.4,9.0,8.618,4,1.4400000000000004,-0.14670588235294169,0.13270588235294234,-0.96
2023,CLE,9.0,-140,120,11,Over,17,396,362,34,2.0,0.553,9.4,17,9.117647058823529,8.64,8.618,3,3.82,8.5,8.824,-8,-5.58,-0.29364705882352915,0.18399999999999928,1.5999999999999996
2024,CLE,8.5,-145,125,3,Under,17,258,435,-177,-10.412,0.2248,3.82,17,9.117647058823529,9.01705882352941,8.824,5,5.54,4.5,9.206,2,1.7200000000000002,0.08835294117647052,0.18894117647058906,-0.8199999999999998
2015,DAL,9.5,110,-130,4,Under,16,275,374,-99,-6.188,0.3255,5.21,16,8.5,8.40125,8.562,13,10.89,8.5,7.75,9,5.680000000000001,-0.75,-0.6512499999999992,-1.21
2016,DAL,8.5,110,-130,13,Over,16,421,306,115,7.188,0.6805,10.89,16,7.4375,7.774375,7.75,9,8.61,9.5,8.375,-4,-2.280000000000001,0.9375,0.600625,2.1099999999999994
2017,DAL,9.5,120,-140,9,Under,16,354,332,22,1.375,0.5379,8.61,16,7.9375,7.844375,8.375,10,8.43,8.5,8.188,1,-0.17999999999999972,0.2505000000000006,0.3436250000000003,0.39000000000000057
2018,DAL,8.5,120,-140,10,Over,16,339,324,15,0.938,0.5268,8.43,16,7.8125,7.934375,8.188,8,10.74,9.0,8.062,-2,2.3100000000000005,0.2494999999999994,0.1276249999999992,1.5700000000000003
2019,DAL,9.0,-110,-110,8,Under,16,434,321,113,7.062,0.6715,10.74,16,7.625,7.600625,8.062,6,6.32,10.0,8.094,-2,-4.42,0.4689999999999994,0.49337499999999945,-2.74
2020,DAL,10.0,-110,-110,6,Under,16,395,473,-78,-4.875,0.3948,6.32,16,7.4375,7.905625,8.094,12,12.19,9.0,8.559,6,5.869999999999999,1.1214999999999993,0.6533749999999996,-0.3200000000000003
2021,DAL,9.0,-120,100,12,Over,17,530,358,172,10.118,0.717,12.19,17,8.294117647058824,8.192352941176472,8.559,12,11.5,10.0,8.382,0,-0.6899999999999995,0.08788235294117541,0.18964705882352817,-0.1899999999999995
2022,DAL,10.0,120,-140,12,Over,17,467,342,125,7.353,0.6766,11.5,17,8.411764705882353,8.058823529411764,8.382,12,12.87,10.0,8.559,0,1.3699999999999992,0.14723529411764602,0.5001764705882348,0.5
