year,team,pyth_wins_T,sos_pyth_T,pyth_wins_T1,sos_pyth_T1,opp_pyth_delta
2025,GB,9.33,8.239999999999998,11.47,8.712941176470588,-0.47294117647058975
2025,HOU,11.53,8.988235294117647,8.5,8.051176470588235,0.9370588235294122
2025,IND,9.73,8.875294117647059,7.25,8.066470588235294,0.8088235294117645
2025,JAX,11.79,8.318823529411764,5.54,8.031764705882352,0.2870588235294118
2025,KC,9.49,8.563529411764705,10.15,8.727058823529413,-0.16352941176470814
2025,LAC,9.29,8.220588235294118,11.31,8.069411764705883,0.15117647058823458
2025,LAR,12.28,8.884705882352941,7.99,8.742941176470588,0.14176470588235368
2025,LV,3.41,9.088823529411764,5.25,8.935882352941176,0.1529411764705877
2025,MIA,6.52,8.128235294117648,7.96,7.47,0.6582352941176479
2025,MIN,8.83,8.68764705882353,11.07,8.272941176470587,0.41470588235294237
2025,NE,12.46,6.79,5.02,8.218823529411765,-1.4288235294117646
2025,NO,6.29,8.109411764705882,6.87,8.297647058823529,-0.1882352941176464
2025,NYG,7.09,8.65470588235294,4.6,8.762941176470589,-0.1082352941176481
2025,NYJ,3.86,8.750588235294117,6.73,8.288235294117648,0.4623529411764693
2025,PHI,10.03,8.443529411764706,12.44,7.722352941176471,0.7211764705882349
2025,PIT,8.76,8.606470588235295,9.41,8.434117647058823,0.17235294117647193
2025,SEA,13.04,8.476470588235294,8.69,8.614117647058823,-0.13764705882352857
2025,SF,10.13,8.699411764705882,7.36,8.955882352941176,-0.25647058823529356
2025,TB,7.71,8.621764705882352,11.09,8.33235294117647,0.28941176470588204
2025,TEN,3.83,9.674117647058823,4.82,8.690588235294118,0.9835294117647049
2025,WAS,6.18,8.638823529411765,10.62,7.67764705882353,0.9611764705882342
