year,team,line_change,bucket,win_total_line,actual_wins,beat_margin,result
2023,GB,-3.5,big_drop (<=-2.5),7.5,9,1.5,Over
2023,HOU,2.0,mod_rise (+0.5..+2.5),6.5,10,3.5,Over
2023,IND,-3.5,big_drop (<=-2.5),6.5,9,2.5,Over
2023,JAX,3.0,big_rise (>=+2.5),9.5,9,-0.5,Under
2023,KC,1.0,mod_rise (+0.5..+2.5),11.5,11,-0.5,Under
2023,LV,-2.0,mod_drop (-2.5..-0.5),6.5,8,1.5,Over
2023,LAC,-1.0,mod_drop (-2.5..-0.5),9.5,5,-4.5,Under
2023,LAR,-4.0,big_drop (<=-2.5),6.5,10,3.5,Over
2023,MIA,0.5,mod_rise (+0.5..+2.5),9.5,11,1.5,Over
2023,MIN,-1.0,mod_drop (-2.5..-0.5),8.5,7,-1.5,Under
2023,NE,-1.0,mod_drop (-2.5..-0.5),7.5,4,-3.5,Under
2023,NO,0.5,mod_rise (+0.5..+2.5),9.5,9,-0.5,Under
2023,NYG,0.5,mod_rise (+0.5..+2.5),7.5,6,-1.5,Under
2023,NYJ,4.0,big_rise (>=+2.5),9.5,7,-2.5,Under
2023,PHI,1.5,mod_rise (+0.5..+2.5),11.5,11,-0.5,Under
2023,PIT,1.5,mod_rise (+0.5..+2.5),9.0,10,1.0,Over
2023,SF,1.0,mod_rise (+0.5..+2.5),11.0,12,1.0,Over
2023,SEA,3.5,big_rise (>=+2.5),9.0,9,0.0,Push
2023,TB,-5.0,big_drop (<=-2.5),6.0,9,3.0,Over
2023,TEN,-1.5,mod_drop (-2.5..-0.5),7.5,6,-1.5,Under
2023,WAS,-1.0,mod_drop (-2.5..-0.5),6.5,4,-2.5,Under
2024,ARI,2.5,big_rise (>=+2.5),7.0,8,1.0,Over
2024,ATL,1.0,mod_rise (+0.5..+2.5),9.5,8,-1.5,Under
2024,BAL,0.5,mod_rise (+0.5..+2.5),10.5,12,1.5,Over
2024,BUF,-0.5,mod_drop (-2.5..-0.5),10.0,13,3.0,Over
2024,CAR,-2.0,mod_drop (-2.5..-0.5),5.5,5,-0.5,Under
2024,CHI,1.0,mod_rise (+0.5..+2.5),8.5,5,-3.5,Under
2024,CIN,-0.5,mod_drop (-2.5..-0.5),10.5,9,-1.5,Under
2024,CLE,-0.5,mod_drop (-2.5..-0.5),8.5,3,-5.5,Under
2024,DAL,0.0,stable (-0.5..+0.5),10.0,7,-3.0,Under
2024,DEN,-3.0,big_drop (<=-2.5),5.5,10,4.5,Over
2024,DET,1.0,mod_rise (+0.5..+2.5),10.5,15,4.5,Over
2024,GB,2.5,big_rise (>=+2.5),10.0,11,1.0,Over
2024,HOU,3.0,big_rise (>=+2.5),9.5,10,0.5,Over
2024,IND,2.0,mod_rise (+0.5..+2.5),8.5,8,-0.5,Under
2024,JAX,-1.0,mod_drop (-2.5..-0.5),8.5,4,-4.5,Under
2024,KC,0.0,stable (-0.5..+0.5),11.5,15,3.5,Over
2024,LV,0.0,stable (-0.5..+0.5),6.5,4,-2.5,Under
2024,LAC,-0.5,mod_drop (-2.5..-0.5),9.0,11,2.0,Over
2024,LAR,2.0,mod_rise (+0.5..+2.5),8.5,10,1.5,Over
2024,MIA,0.5,mod_rise (+0.5..+2.5),10.0,8,-2.0,Under
2024,MIN,-2.0,mod_drop (-2.5..-0.5),6.5,14,7.5,Over
2024,NE,-3.0,big_drop (<=-2.5),4.5,4,-0.5,Under
2024,NO,-2.0,mod_drop (-2.5..-0.5),7.5,5,-2.5,Under
2024,NYG,-1.0,mod_drop (-2.5..-0.5),6.5,3,-3.5,Under
2024,NYJ,0.0,stable (-0.5..+0.5),9.5,5,-4.5,Under
2024,PHI,-1.0,mod_drop (-2.5..-0.5),10.5,14,3.5,Over
2024,PIT,-1.0,mod_drop (-2.5..-0.5),8.0,10,2.0,Over
2024,SF,0.5,mod_rise (+0.5..+2.5),11.5,6,-5.5,Under
2024,SEA,-1.5,mod_drop (-2.5..-0.5),7.5,10,2.5,Over
2024,TB,1.5,mod_rise (+0.5..+2.5),7.5,10,2.5,Over
2024,TEN,-1.0,mod_drop (-2.5..-0.5),6.5,3,-3.5,Under
2024,WAS,0.0,stable (-0.5..+0.5),6.5,12,5.5,Over
2025,ARI,1.5,mod_rise (+0.5..+2.5),8.5,3,-5.5,Under
2025,ATL,-1.0,mod_drop (-2.5..-0.5),8.5,8,-0.5,Under
2025,BAL,1.0,mod_rise (+0.5..+2.5),11.5,8,-3.5,Under
2025,BUF,2.5,big_rise (>=+2.5),12.5,12,-0.5,Under
2025,CAR,1.0,mod_rise (+0.5..+2.5),6.5,8,1.5,Over
2025,CHI,0.0,stable (-0.5..+0.5),8.5,11,2.5,Over
2025,CIN,-1.0,mod_drop (-2.5..-0.5),9.5,6,-3.5,Under
2025,CLE,-4.0,big_drop (<=-2.5),4.5,5,0.5,Over
2025,DAL,-2.5,big_drop (<=-2.5),7.5,7,-0.5,Under
2025,DEN,4.0,big_rise (>=+2.5),9.5,14,4.5,Over
2025,DET,0.0,stable (-0.5..+0.5),10.5,9,-1.5,Under
2025,GB,0.5,mod_rise (+0.5..+2.5),10.5,9,-1.5,Under
2025,HOU,0.0,stable (-0.5..+0.5),9.5,12,2.5,Over
2025,IND,-1.0,mod_drop (-2.5..-0.5),7.5,8,0.5,Over
2025,JAX,-1.0,mod_drop (-2.5..-0.5),7.5,13,5.5,Over
2025,KC,0.0,stable (-0.5..+0.5),11.5,6,-5.5,Under
2025,LV,0.0,stable (-0.5..+0.5),6.5,3,-3.5,Under
2025,LAC,0.5,mod_rise (+0.5..+2.5),9.5,11,1.5,Over
2025,LAR,1.0,mod_rise (+0.5..+2.5),9.5,12,2.5,Over
2025,MIA,-2.5,big_drop (<=-2.5),7.5,7,-0.5,Under
2025,MIN,3.0,big_rise (>=+2.5),9.5,9,-0.5,Under
2025,NE,4.0,big_rise (>=+2.5),8.5,14,5.5,Over
2025,NO,-3.0,big_drop (<=-2.5),4.5,6,1.5,Over
2025,NYG,-1.0,mod_drop (-2.5..-0.5),5.5,5,-0.5,Under
2025,NYJ,-3.0,big_drop (<=-2.5),6.5,3,-3.5,Under
2025,PHI,1.0,mod_rise (+0.5..+2.5),11.5,11,-0.5,Under
2025,PIT,0.5,mod_rise (+0.5..+2.5),8.5,10,1.5,Over
2025,SF,-1.0,mod_drop (-2.5..-0.5),10.5,12,1.5,Over
2025,SEA,1.0,mod_rise (+0.5..+2.5),8.5,14,5.5,Over
2025,TB,2.0,mod_rise (+0.5..+2.5),9.5,8,-1.5,Under
2025,TEN,0.0,stable (-0.5..+0.5),6.5,3,-3.5,Under
2025,WAS,3.0,big_rise (>=+2.5),9.5,5,-4.5,Under
