year,player,team,pos,season_finish,per_game_finish
2024,Juwan Johnson,NO,TE,210.0,
2024,DeAndre Hopkins,BAL,WR,142.0,
2024,Tre Tucker,LV,WR,154.0,
2024,Alec Pierce,IND,WR,84.0,
2024,Wan'Dale Robinson,NYG,WR,164.0,
2024,Russell Wilson,NYG,QB,166.0,
2024,Joe Flacco,CLE,QB,199.0,
2024,Anthony Richardson,IND,QB,129.0,
2024,Cade Otton,TB,TE,120.0,
2024,Mike Gesicki,CIN,TE,132.0,
2024,Jaylen Wright,MIA,RB,303.0,
2024,Andrei Iosivas,CIN,WR,185.0,
2024,Adonai Mitchell,IND,WR,289.0,
2024,Amari Cooper,LV,WR,125.0,
2024,Calvin Austin III,PIT,WR,163.0,
2024,Josh Reynolds,NYJ,WR,255.0,
2024,Raheem Mostert,LV,RB,202.0,
2024,Justice Hill,BAL,RB,147.0,
2024,Devin Singletary,NYG,RB,160.0,
2024,Ray-Ray McCloud III,ATL,WR,211.0,
2024,Devaughn Vele,NO,WR,186.0,
2024,Noah Gray,KC,TE,174.0,
2024,Tutu Atwell,LAR,WR,253.0,
2024,Tyler Lockett,TEN,WR,203.0,
2024,Isaiah Davis,NYJ,RB,204.0,
2024,KaVontae Turpin,DAL,WR,216.0,
2024,Jalen McMillan,TB,WR,79.0,
2024,Dontayvion Wicks,GB,WR,178.0,
2024,Pat Freiermuth,PIT,TE,140.0,
2024,Cole Kmet,CHI,TE,133.0,
2024,Jalen Tolbert,DAL,WR,155.0,
2024,Marquez Valdes-Scantling,SF,WR,128.0,
2024,Jahan Dotson,PHI,WR,268.0,
2024,Nick Westbrook-Ikhine,MIA,WR,105.0,
2025,Jahmyr Gibbs,DET,RB,5.0,4.0
2025,Bijan Robinson,ATL,RB,2.0,2.0
2025,Ja'Marr Chase,CIN,WR,13.0,10.0
2025,Puka Nacua,LAR,WR,4.0,5.0
2025,Jaxon Smith-Njigba,SEA,WR,7.0,8.0
2025,Jonathan Taylor,IND,RB,3.0,3.0
2025,Christian McCaffrey,SF,RB,1.0,1.0
2025,Amon-Ra St. Brown,DET,WR,12.0,11.0
2025,Justin Jefferson,MIN,WR,83.0,96.0
2025,De'Von Achane,MIA,RB,8.0,6.0
2025,CeeDee Lamb,DAL,WR,42.0,42.0
2025,James Cook,BUF,RB,6.0,7.0
2025,Ashton Jeanty,LV,RB,23.0,28.0
2025,Brock Bowers,LV,TE,63.0,43.0
2025,Saquon Barkley,PHI,RB,20.0,24.0
2025,Omarion Hampton,LAC,RB,68.0,32.0
2025,Kenneth Walker III,KC,RB,29.0,40.0
2025,Derrick Henry,BAL,RB,10.0,9.0
2025,Chase Brown,CIN,RB,17.0,20.0
2025,George Pickens,DAL,WR,15.0,17.0
2025,Drake London,ATL,WR,30.0,16.0
2025,Malik Nabers,NYG,WR,131.0,22.0
2025,Rashee Rice,KC,WR,50.0,15.0
2025,Josh Jacobs,GB,RB,14.0,12.0
2025,Travis Etienne Jr.,NO,RB,11.0,13.0
2025,Josh Allen,BUF,QB,21.0,30.0
2025,Trey McBride,ARI,TE,16.0,19.0
2025,Nico Collins,HOU,WR,35.0,39.0
2025,Breece Hall,NYJ,RB,38.0,44.0
2025,Tetairoa McMillan,CAR,WR,49.0,68.0
2025,Tee Higgins,CIN,WR,37.0,35.0
2025,Javonte Williams,DAL,RB,19.0,21.0
2025,Kyren Williams,LAR,RB,9.0,14.0
2025,Chris Olave,NO,WR,24.0,25.0
2025,DeVonta Smith,PHI,WR,61.0,80.0
2025,A.J. Brown,PHI,WR,32.0,34.0
2025,Bucky Irving,TB,RB,87.0,46.0
2025,Ladd McConkey,LAC,WR,76.0,89.0
2025,Garrett Wilson,NYJ,WR,102.0,27.0
2025,Jaylen Waddle,DEN,WR,57.0,63.0
2025,Zay Flowers,BAL,WR,33.0,45.0
2025,Jameson Williams,DET,WR,31.0,36.0
2025,Cam Skattebo,NYG,RB,64.0,18.0
2025,TreVeyon Henderson,NE,RB,22.0,33.0
2025,D'Andre Swift,CHI,RB,18.0,23.0
2025,Lamar Jackson,BAL,QB,114.0,110.0
2025,Colston Loveland,CHI,TE,59.0,79.0
2025,D.J. Moore,BUF,WR,69.0,93.0
2025,Emeka Egbuka,TB,WR,52.0,65.0
2025,Mike Evans,SF,WR,161.0,118.0
2025,Davante Adams,LAR,WR,27.0,29.0
2025,Terry McLaurin,WAS,WR,138.0,113.0
2025,Quinshon Judkins,CLE,RB,54.0,50.0
2025,David Montgomery,HOU,RB,74.0,87.0
2025,Bhayshul Tuten,JAX,RB,174.0,194.0
2025,Luther Burden,CHI,WR,121.0,142.0
2025,Christian Watson,GB,WR,75.0,48.0
2025,Chuba Hubbard,CAR,RB,97.0,109.0
2025,Jaylen Warren,PIT,RB,39.0,52.0
2025,Tyler Warren,IND,TE,101.0,117.0
2025,Joe Burrow,CIN,QB,169.0,122.0
2025,Jayden Daniels,WAS,QB,283.0,253.0
2025,Rome Odunze,CHI,WR,70.0,61.0
2025,Alec Pierce,IND,WR,47.0,53.0
2025,Rhamondre Stevenson,NE,RB,28.0,31.0
2025,RJ Harvey,DEN,RB,34.0,49.0
2025,Caleb Williams,CHI,QB,84.0,112.0
2025,Drake Maye,NE,QB,78.0,107.0
2025,Justin Herbert,LAC,QB,91.0,108.0
2025,Brian Thomas,JAX,WR,144.0,158.0
2025,Jordan Addison,MIN,WR,127.0,131.0
2025,Marvin Harrison,ARI,WR,106.0,86.0
2025,Michael Wilson,ARI,WR,36.0,47.0
2025,Jaxson Dart,NYG,QB,105.0,101.0
2025,Jalen Hurts,PHI,QB,99.0,115.0
2025,Harold Fannin,CLE,TE,96.0,105.0
2025,Sam LaPorta,DET,TE,124.0,81.0
2025,Tony Pollard,TEN,RB,62.0,71.0
2025,DK Metcalf,PIT,WR,67.0,73.0
2025,Courtland Sutton,DEN,WR,40.0,57.0
2025,Chris Godwin,TB,WR,162.0,130.0
2025,Bo Nix,DEN,QB,85.0,104.0
2025,Brock Purdy,SF,QB,108.0,82.0
2025,Rico Dowdle,PIT,RB,25.0,37.0
2025,Kyle Monangai,CHI,RB,94.0,119.0
2025,Blake Corum,LAR,RB,98.0,124.0
2025,Trevor Lawrence,JAX,QB,65.0,83.0
2025,Dak Prescott,DAL,QB,79.0,91.0
2025,Parker Washington,JAX,WR,41.0,60.0
2025,Jayden Reed,GB,WR,222.0,171.0
2025,Xavier Worthy,KC,WR,221.0,228.0
2025,Matthew Golden,GB,WR,191.0,211.0
2025,Josh Downs,IND,WR,172.0,191.0
2025,Tucker Kraft,GB,TE,89.0,26.0
2025,Kyle Pitts,ATL,TE,55.0,67.0
2025,Patrick Mahomes,KC,QB,60.0,55.0
2025,Matthew Stafford,LAR,QB,43.0,69.0
2025,Jared Goff,DET,QB,111.0,132.0
2025,Jordan Love,GB,QB,110.0,126.0
2025,Malik Willis,MIA,QB,208.0,90.0
2025,Jordan Mason,MIN,RB,116.0,133.0
2025,Rachaad White,WAS,RB,130.0,156.0
2025,Jacory Croskey-Merritt,WAS,RB,66.0,77.0
2025,Chris Rodriguez,JAX,RB,189.0,193.0
2025,Ricky Pearsall,SF,WR,152.0,127.0
2025,Jakobi Meyers,JAX,WR,120.0,141.0
2025,Michael Pittman Jr.,PIT,WR,51.0,64.0
2025,Quentin Johnston,LAC,WR,56.0,59.0
2025,Romeo Doubs,NE,WR,72.0,85.0
2025,Jalen Coker,CAR,WR,109.0,92.0
2025,J.K. Dobbins,DEN,RB,107.0,66.0
2025,Aaron Jones,MIN,RB,132.0,123.0
2025,Kenneth Gainwell,TB,RB,26.0,38.0
2025,Wan'Dale Robinson,TEN,WR,48.0,58.0
2025,Jake Ferguson,DAL,TE,90.0,103.0
2025,Travis Kelce,KC,TE,86.0,97.0
2025,Dalton Kincaid,BUF,TE,88.0,76.0
2025,George Kittle,SF,TE,58.0,41.0
2025,Jayden Higgins,HOU,WR,137.0,169.0
2025,Khalil Shakir,BUF,WR,93.0,114.0
2025,Baker Mayfield,TB,QB,181.0,213.0
2025,Bryce Young,CAR,QB,158.0,182.0
2025,Tyler Shough,NO,QB,250.0,238.0
2025,Dallas Goedert,PHI,TE,45.0,56.0
2025,Oronde Gadsden,LAC,TE,117.0,134.0
2025,Isaiah Likely,NYG,TE,271.0,281.0
2025,Mark Andrews,BAL,TE,118.0,140.0
2025,Travis Hunter,JAX,WR,204.0,148.0
2025,Jalen Nailor,LV,WR,142.0,165.0
2025,Sam Darnold,SEA,QB,143.0,168.0
2025,C.J. Stroud,HOU,QB,175.0,198.0
2025,Tyrone Tracy,NYG,RB,44.0,51.0
2025,Woody Marks,HOU,RB,71.0,88.0
2025,Dylan Sampson,CLE,RB,184.0,204.0
2025,Jalen McMillan,TB,WR,254.0,147.0
2025,Rashid Shaheed,SEA,WR,122.0,157.0
2025,Stefon Diggs,,WR,53.0,78.0
2025,Jauan Jennings,,WR,82.0,95.0
2025,Deebo Samuel,,WR,73.0,75.0
2025,Cam Ward,TEN,QB,279.0,293.0
