year,player_id,player,team,team_start,traded,position,games,carries,rushing_yards,rushing_tds,rushing_first_downs,receptions,receiving_yards,receiving_tds,rush_rec_yards,rush_rec_tds
2024,00-0039337,Malik Nabers,NYG,NYG,,WR,15,5,2,0,1,109,1204,7,1206,7
2024,00-0039603,British Brooks,HOU,HOU,,RB,2,1,2,0,0,0,0,0,2,0
2024,00-0039692,Dell Pettus,NE,NE,,SAF,12,1,2,0,1,0,0,0,2,0
2024,00-0026300,Josh Johnson,BAL,BAL,,QB,4,4,1,0,0,0,0,0,1,0
2024,00-0030506,Travis Kelce,KC,KC,,TE,16,1,1,0,0,97,823,3,824,3
2024,00-0033557,Jalen Reeves-Maybin,DET,DET,,LB,9,1,1,0,0,0,0,0,1,0
2024,00-0033869,Mitchell Trubisky,BUF,BUF,,QB,8,17,1,0,1,0,0,0,1,0
2024,00-0034613,Tanner Hudson,CIN,CIN,,TE,9,1,1,0,1,19,154,1,155,1
2024,00-0036268,Laviska Shenault Jr.,SEA,SEA,,WR,10,1,1,0,0,5,36,0,37,0
2024,00-0036912,DeVonta Smith,PHI,PHI,,WR,13,1,1,0,0,68,833,8,834,8
2024,00-0036980,Elijah Moore,CLE,CLE,,WR,17,1,1,0,0,61,538,1,539,1
2024,00-0037742,Treylon Burks,TEN,TEN,,WR,5,2,1,0,0,4,34,0,35,0
2024,00-0039067,Rashee Rice,KC,KC,,WR,4,1,1,0,1,24,288,2,289,2
2024,00-0039825,Jaden Hicks,KC,KC,,SAF,14,1,1,0,0,0,0,0,1,0
2024,00-0029604,Kirk Cousins,ATL,ATL,,QB,14,23,0,0,2,0,0,0,0,0
2024,00-0032464,Kalif Raymond,DET,DET,,WR,12,2,0,0,1,17,215,2,215,2
2024,00-0032950,Carson Wentz,KC,KC,,QB,2,3,0,0,0,0,0,0,0,0
2024,00-0033589,David Moore,CAR,CAR,,WR,15,1,0,0,0,32,351,3,351,3
2024,00-0034162,J.K. Scott,LAC,LAC,,P,17,1,0,0,0,0,0,0,0,0
2024,00-0034270,Tyler Conklin,NYJ,NYJ,,TE,16,1,0,0,0,51,449,4,449,4
