year,team,head_coach,new_coach,tenure,win_total_line,actual_wins,result,beat_margin,prior_actual_wins,prior_win_total_line,wins_change,line_change
2021,LV,Jon Gruden,0,4,7.5,10,Over,2.5,8,7.5,2,0.0
2021,LAC,Brandon Staley,1,1,9.5,9,Under,-0.5,7,8.0,2,1.5
2021,LAR,Sean McVay,0,5,10.5,12,Over,1.5,10,8.5,2,2.0
2021,MIA,Brian Flores,0,3,9.0,9,Push,0.0,10,6.0,-1,3.0
2021,MIN,Mike Zimmer,0,8,9.0,8,Under,-1.0,7,9.0,1,0.0
2021,NE,Bill Belichick,0,8,9.5,10,Over,0.5,7,9.0,3,0.5
2021,NO,Sean Payton,0,8,9.0,9,Push,0.0,12,10.5,-3,-1.5
2021,NYG,Joe Judge,0,2,7.0,4,Under,-3.0,6,6.5,-2,0.5
2021,NYJ,Robert Saleh,1,1,6.0,4,Under,-2.0,2,6.5,2,-0.5
2021,PHI,Nick Sirianni,1,1,6.5,9,Over,2.5,4,9.5,5,-3.0
2021,PIT,Mike Tomlin,0,8,8.5,9,Over,0.5,12,9.5,-3,-1.0
2021,SF,Kyle Shanahan,0,5,10.5,10,Under,-0.5,6,10.5,4,0.0
2021,SEA,Pete Carroll,0,8,9.5,7,Under,-2.5,12,9.5,-5,0.0
2021,TB,Bruce Arians,0,3,12.0,13,Over,1.0,11,9.5,2,2.5
2021,TEN,Mike Vrabel,0,4,9.5,12,Over,2.5,11,8.5,1,1.0
2021,WAS,Ron Rivera,0,2,8.5,7,Under,-1.5,7,5.0,0,3.5
2022,ARI,Kliff Kingsbury,0,4,8.5,4,Under,-4.5,11,8.5,-7,0.0
2022,ATL,Arthur Smith,0,2,4.5,7,Over,2.5,7,7.5,0,-3.0
2022,BAL,John Harbaugh,0,9,10.5,10,Under,-0.5,8,10.5,2,0.0
2022,BUF,Sean McDermott,0,6,12.0,13,Over,1.0,11,11.5,2,0.5
2022,CAR,Matt Rhule,0,3,6.5,7,Over,0.5,5,7.5,2,-1.0
2022,CHI,Matt Eberflus,1,1,5.5,3,Under,-2.5,6,7.5,-3,-2.0
2022,CIN,Zac Taylor,0,4,9.5,12,Over,2.5,10,6.5,2,3.0
2022,CLE,Kevin Stefanski,0,3,8.0,7,Under,-1.0,8,10.5,-1,-2.5
2022,DAL,Mike McCarthy,0,3,10.0,12,Over,2.0,12,9.0,0,1.0
2022,DEN,Nathaniel Hackett,1,1,10.0,5,Under,-5.0,7,9.0,-2,1.0
2022,DET,Dan Campbell,0,2,6.5,9,Over,2.5,3,4.5,6,2.0
2022,GB,Matt LaFleur,0,4,11.0,8,Under,-3.0,13,10.5,-5,0.5
2022,HOU,Lovie Smith,1,1,4.5,3,Under,-1.5,4,4.0,-1,0.5
2022,IND,Frank Reich,0,5,10.0,4,Under,-6.0,9,9.0,-5,1.0
2022,JAX,Doug Pederson,1,1,6.5,9,Over,2.5,3,6.5,6,0.0
2022,KC,Andy Reid,0,9,10.5,14,Over,3.5,12,12.5,2,-2.0
2022,LV,Josh McDaniels,1,1,8.5,6,Under,-2.5,10,7.5,-4,1.0
2022,LAC,Brandon Staley,0,2,10.5,10,Under,-0.5,9,9.5,1,1.0
2022,LAR,Sean McVay,0,6,10.5,5,Under,-5.5,12,10.5,-7,0.0
2022,MIA,Mike McDaniel,1,1,9.0,9,Push,0.0,9,9.0,0,0.0
2022,MIN,Kevin O'Connell,1,1,9.5,13,Over,3.5,8,9.0,5,0.5
2022,NE,Bill Belichick,0,9,8.5,8,Under,-0.5,10,9.5,-2,-1.0
2022,NO,Dennis Allen,1,1,9.0,7,Under,-2.0,9,9.0,-2,0.0
2022,NYG,Brian Daboll,1,1,7.0,9,Over,2.0,4,7.0,5,0.0
2022,NYJ,Robert Saleh,0,2,5.5,7,Over,1.5,4,6.0,3,-0.5
2022,PHI,Nick Sirianni,0,2,10.0,14,Over,4.0,9,6.5,5,3.5
2022,PIT,Mike Tomlin,0,9,7.5,9,Over,1.5,9,8.5,0,-1.0
2022,SF,Kyle Shanahan,0,6,10.0,13,Over,3.0,10,10.5,3,-0.5
2022,SEA,Pete Carroll,0,9,5.5,9,Over,3.5,7,9.5,2,-4.0
2022,TB,Todd Bowles,1,1,11.0,8,Under,-3.0,13,12.0,-5,-1.0
2022,TEN,Mike Vrabel,0,5,9.0,7,Under,-2.0,12,9.5,-5,-0.5
2022,WAS,Ron Rivera,0,3,7.5,8,Over,0.5,7,8.5,1,-1.0
2023,ARI,Jonathan Gannon,1,1,4.5,4,Under,-0.5,4,8.5,0,-4.0
2023,ATL,Arthur Smith,0,3,8.5,7,Under,-1.5,7,4.5,0,4.0
2023,BAL,John Harbaugh,0,10,10.0,13,Over,3.0,10,10.5,3,-0.5
2023,BUF,Sean McDermott,0,7,10.5,11,Over,0.5,13,12.0,-2,-1.5
2023,CAR,Frank Reich,1,1,7.5,2,Under,-5.5,7,6.5,-5,1.0
2023,CHI,Matt Eberflus,0,2,7.5,7,Under,-0.5,3,5.5,4,2.0
2023,CIN,Zac Taylor,0,5,11.0,9,Under,-2.0,12,9.5,-3,1.5
2023,CLE,Kevin Stefanski,0,4,9.0,11,Over,2.0,7,8.0,4,1.0
2023,DAL,Mike McCarthy,0,4,10.0,12,Over,2.0,12,10.0,0,0.0
2023,DEN,Sean Payton,1,1,8.5,8,Under,-0.5,5,10.0,3,-1.5
2023,DET,Dan Campbell,0,3,9.5,12,Over,2.5,9,6.5,3,3.0
2023,GB,Matt LaFleur,0,5,7.5,9,Over,1.5,8,11.0,1,-3.5
2023,HOU,DeMeco Ryans,1,1,6.5,10,Over,3.5,3,4.5,7,2.0
2023,IND,Shane Steichen,1,1,6.5,9,Over,2.5,4,10.0,5,-3.5
2023,JAX,Doug Pederson,0,2,9.5,9,Under,-0.5,9,6.5,0,3.0
2023,KC,Andy Reid,0,10,11.5,11,Under,-0.5,14,10.5,-3,1.0
2023,LV,Josh McDaniels,0,2,6.5,8,Over,1.5,6,8.5,2,-2.0
2023,LAC,Brandon Staley,0,3,9.5,5,Under,-4.5,10,10.5,-5,-1.0
2023,LAR,Sean McVay,0,7,6.5,10,Over,3.5,5,10.5,5,-4.0
2023,MIA,Mike McDaniel,0,2,9.5,11,Over,1.5,9,9.0,2,0.5
2023,MIN,Kevin O'Connell,0,2,8.5,7,Under,-1.5,13,9.5,-6,-1.0
2023,NE,Bill Belichick,0,10,7.5,4,Under,-3.5,8,8.5,-4,-1.0
2023,NO,Dennis Allen,0,2,9.5,9,Under,-0.5,7,9.0,2,0.5
2023,NYG,Brian Daboll,0,2,7.5,6,Under,-1.5,9,7.0,-3,0.5
2023,NYJ,Robert Saleh,0,3,9.5,7,Under,-2.5,7,5.5,0,4.0
2023,PHI,Nick Sirianni,0,3,11.5,11,Under,-0.5,14,10.0,-3,1.5
2023,PIT,Mike Tomlin,0,10,9.0,10,Over,1.0,9,7.5,1,1.5
2023,SF,Kyle Shanahan,0,7,11.0,12,Over,1.0,13,10.0,-1,1.0
2023,SEA,Pete Carroll,0,10,9.0,9,Push,0.0,9,5.5,0,3.5
2023,TB,Todd Bowles,0,2,6.0,9,Over,3.0,8,11.0,1,-5.0
2023,TEN,Mike Vrabel,0,6,7.5,6,Under,-1.5,7,9.0,-1,-1.5
2023,WAS,Ron Rivera,0,4,6.5,4,Under,-2.5,8,7.5,-4,-1.0
2024,ARI,Jonathan Gannon,0,2,7.0,8,Over,1.0,4,4.5,4,2.5
2024,ATL,Raheem Morris,1,1,9.5,8,Under,-1.5,7,8.5,1,1.0
2024,BAL,John Harbaugh,0,11,10.5,12,Over,1.5,13,10.0,-1,0.5
2024,BUF,Sean McDermott,0,8,10.0,13,Over,3.0,11,10.5,2,-0.5
2024,CAR,Dave Canales,1,1,5.5,5,Under,-0.5,2,7.5,3,-2.0
2024,CHI,Matt Eberflus,0,3,8.5,5,Under,-3.5,7,7.5,-2,1.0
2024,CIN,Zac Taylor,0,6,10.5,9,Under,-1.5,9,11.0,0,-0.5
2024,CLE,Kevin Stefanski,0,5,8.5,3,Under,-5.5,11,9.0,-8,-0.5
2024,DAL,Mike McCarthy,0,5,10.0,7,Under,-3.0,12,10.0,-5,0.0
2024,DEN,Sean Payton,0,2,5.5,10,Over,4.5,8,8.5,2,-3.0
2024,DET,Dan Campbell,0,4,10.5,15,Over,4.5,12,9.5,3,1.0
2024,GB,Matt LaFleur,0,6,10.0,11,Over,1.0,9,7.5,2,2.5
2024,HOU,DeMeco Ryans,0,2,9.5,10,Over,0.5,10,6.5,0,3.0
2024,IND,Shane Steichen,0,2,8.5,8,Under,-0.5,9,6.5,-1,2.0
2024,JAX,Doug Pederson,0,3,8.5,4,Under,-4.5,9,9.5,-5,-1.0
2024,KC,Andy Reid,0,11,11.5,15,Over,3.5,11,11.5,4,0.0
2024,LV,Antonio Pierce,1,1,6.5,4,Under,-2.5,8,6.5,-4,0.0
2024,LAC,Jim Harbaugh,1,1,9.0,11,Over,2.0,5,9.5,6,-0.5
2024,LAR,Sean McVay,0,8,8.5,10,Over,1.5,10,6.5,0,2.0
